Programa;Observaciones;Responsable;Version 2010;Versión inicio 201210;Versión inicio 201310
Microsoft Windows 7;;;6.1 (7600);6.1 (7601);6.1 (7601)
miktex;;;2.7;2.8.3553;2.8.3553
morphol;;;5.1.2;5.1.2;5.1.2
Mozilla Firefox;;;3.6.12;7.0.1;12.0
MySQL Toad;;;5.0.0.345;6.0.1.1723;
Netbeans-All [Java ME, Ruby, C/C++, Groovy, PHP];;;6.9.1;6.9.1;6.9.1
notepad++;;;5.8.5;5.9.6;6.2.2
Plugin e-brary Reader  (2 navegadores);"Corre sólo en Chrome, y en Safari
";;3.2.3.0;3.2.3.0;3.2.3.0
Processing ;;;1.5.1;1.5.1;1.5.1
protege 3.4.1;;;3.4.1;3.4.1;3.4.1
protege 4.0;;;4.0;4.1;4.1
Python;;;3.1.3150;3.2.2;3.2.2
Python;"Este programa es prerrequisito de wxPython
";;2.6 x64;2.6.4;2.6.4
Python;;;2.5;2.5.4;2.5.4
QuickTime;;;7.68.75.0;7.7.1;7.73.80.64
Roxio;;;10.2;10.2;10.2
SQLDeveloper;;;2.1.1.64;3.0.0.34;3.2.20.87
SSH Secure Shell;;;3.2.9;3.2.9;3.2.9
SUA SDK;;;3.5;010.0.7063.0;010.0.7063.0
Subsistema UNIX;;;10.0.6030.0;10.0.7063.0;10.0.7063.0
swig;;;2.0.0;2.0.4;2.0.4
Symantec Antivirus;Lo instala el DTI;;11.0.5002.333;11.0.7000;11.0.7000
Tomcat;;;6.0.26;7.0.22;7.0.22
Tomcat50-jwsdp;;;;1.5;1.5
TortoiseSVN;;;1.6.20536;1.7.1.22161;1.7.1.22161
tranus model programs;Lo Instala el DTI, es Copy Paste, dejar en C:\Software;Ing Civil;2007.12.2;2009.4.15;2009.4.15
vas;;;1.2.2;1.2.2;1.2.2
Virtual Box;;;4.0.0;4.1.6;4.2.4
vissim;Lo Instala el DTI;Ing Civil;5.20.05 x86;5.30.02x86;5.30.02x86
visum;Lo Instala el DTI;Ing Civil;11.03.06 x86;11.52.00x86;11.52.00x86
VMware Workstation;;;7.0.0.9911;8.0;9.0
vtk;;;5.4;5.6.1;5.6.1
Windows Media Player;;;12.0.7600.16667;12.0.7600.16667;12.0.7600.16667
Windows XP Mode (Microsoft Virtual PC);;;1.3.7600.16422;1.3.7600.16422;1.3.7600.16422
Win32 (WinHelp);;;;;
WinPCap;Según wireshark;;4.1.0.2001;4.1.2;
Wireshark;;;1.4.2;1.6.3;1.8.2
wxPython docs and demos;;;2.8.10.1;2.8.12.1;2.8.12.1
wxWidgets;;;2.8.11;2.8.12;2.8.12
xalanj;;;2.7.1;2.7.1;2.7.1
xerces;;;2.9.0;2.11.0;2.11.0
xming;;;6.9.0.31;6.9.0.32;6.9.0.32
xpress;;Ing Industral;7.0;7.0.2;7.0.2
Wiring;;pfiguero;;1;1
Falcon ;;pfiguero;;4.0.28.0_100707;4.0.28.0_100707
Phidget21-windevel;;pfiguero;;2.1.8.20111121;2.1.8.20111121
Arduino;Copiar y pegar en c:\Software;pfiguero;;;
Kinect;Instalar: 1) OpenNI 1.4.0.2, 2)Nite1.5.0.2, 3) PrimeSense Sensot KinectMod 5.0.5.1, 4) Pegar en c:\Software PrimerSense-Sensor;pfiguero;;;
Phantom Device Drivers;;pfiguero;;4.2.131;4.2.131
